sozshakllar,soni
imonsiz,4
yurtni,4
o‘v,4
kelinglar,4
chumchuq,4
pista,4
tishim,4
tashqari,4
sumkasi,4
tizilishib,4
yotibman,4
ket,4
pensiya,4
bolamas,4
bilmasdim,4
mushuk,4
cho‘loq,4
ikkovlashib,4
uloqtirdi,4
shundoqqina,4
deydilar,4
paypoq,4
beshik,4
kelaman,4
tashlayman,4
cherta,4
o‘chdi,4
gapingiz,4
pishillab,4
yashar,4
uydan,4
urishib,4
qilishimni,4
mehribon,4
yara,4
amaki,4
tayoqdek,4
diqqat,4
xayol,4
borki,4
o‘tmaydi,4
keta,4
bo‘ladi-da,4
ochildi-da,4
chertib,4
bolalarni,4
yuzimga,4
mashinasi,4
tolda,4
zirakni,4
tupurib,4
chiqmaydi,4
zirak,4
vahima,4
qolasan,4
yurtda,4
beradiganlarni,4
yaxshisi,4
chiqqanidan,4
aytganini,4
ammo-lekin,4
g‘alamis,4
haliyam,4
yoshli,4
bahona,4
unisi,4
yaxmalak,4
yuzidan,4
sizning,4
charchab,4
jahon,4
bordir,4
podshosini,4
tortadi,4
shahar,4
oladiganlarni-yu,4
soqqa,4
qog‘ozni,4
qolishgan,4
kunlardan,4
mushtdekkina,4
kishiga,4
boshqasini,4
qilardi,4
ketma-ket,4
ollohu,4
akammi,4
giroy,4
kasallar,4
tepasiga,4
so‘zlar,4
qadim,4
shoxi,4
xunuk,4
ichiga,4
tesha,4
chiqmadi,4
sado,4
qizlar,4
beshyog‘ochga,4
haqorat,4
o‘yinga,4
dadamdan,4
yong‘oqni,4
o‘ynadik,4
o‘qiydi,4
quyuq,4
ovqat,4
bo‘lmang,4
uzum,4
hakim,4
sovuqda,4
nimcha,4
bilmasam,4
itga,4
qarayman,4
yuribdi,4
orqasida,4
dasturxonda,4
chetidan,4
piyolani,4
tinch,4
persanalniy,4
xontaxta,4
uzoqdan,4
sochib,4
sabr,4
papiros,4
allanimani,4
qorayib,4
chiqibdi,4
ondayoq,4
darvozaga,4
ko‘rinadi,4
ko‘rganimda,4
maskovga,4
borgan,4
kaftiga,4
g‘olibona,4
sigiri,4
ilohi,4
kechagacha,4
dutorning,4
och,4
olma,4
paltosining,4
o‘tin,4
birgalashib,4
og‘ir-og‘ir,4
peshonasidan,4
olamiz,4
qolamiz,4
xotinlarning,4
olim,4
yuribsizmi,4
diyman,4
peravodniy,4
oldim-u,4
kuzatib,4
ketmagan,4
tovoqni,4
shinni,4
yong‘oqqa,4
qop,4
damlab,4
to‘xtaydi,4
haydar,4
mundoq,4
mehmonlarni,4
yuring,4
urildi,4
do‘stlarim,4
hafta,4
ko‘nglingizga,4
kelguncha,4
astoydil,4
tugunni,4
arpa,4
turaman,4
o‘tiraverdim,4
og‘zini,4
sumalak,4
xotinni,4
tegib,4
tog‘lar,4
yurdik,4
oqsoqlanib,4
dodini,3
erini,3
qo‘sh,3
qiziqib,3
qildik,3
mahsi,3
jurnalni,3
soatning,3
kezar,3
xotinlarni,3
chodirni,3
yamoq,3
ona-bola,3
degancha,3
kamida,3
o‘qishga,3
jiydazor,3
nosni,3
shartta,3
sening,3
qaytdim,3
tomib,3
aytmaysan-a,3
tayoqni,3
ko‘rsatdim,3
xurjunini,3
terib,3
ustimga,3
tiling,3
kulimsirab,3
buvani,3
ko‘rishim,3
oltmishvoyning,3
sepilgan,3
bunaqangi,3
qo‘yishibdi,3
musht,3
jahllari,3
ichgan,3
qizi,3
bittayam,3
yutgur,3
hujrasida,3
qilgandek,3
amon,3
gapirgan,3
sindirib,3
dedim-u,3
lo‘liga,3
talpindi,3
tunuka,3
sho‘rim,3
delvagay,3
otamning,3
borganim,3
lahza,3
qizing,3
ko‘kimtir,3
yaqinroq,3
xolajon,3
olisda,3
qilmasin,3
bo‘yginang,3
qing‘ir-qiyshiq,3
sopol,3
hovlisi,3
oqboladan,3
akamdan,3
birozdan,3
qilsa,3
chopib,3
usta,3
chirigur,3
peshvoz,3
yorib,3
qiyiqchani,3
buvangga,3
tik,3
dedilar,3
qoshiqni,3
bolasiga,3
deydi-da,3
qilishni,3
yuzidagi,3
kuchi,3
qizaloqlar,3
mahallaga,3
keldi-ku,3
ketganida,3
sahoba,3
uyini,3
kaftining,3
vujudimni,3
xurjuniga,3
narsalarni,3
yagona,3
barakalla,3
qildimi,3
o‘ray,3
uyida,3
mamnun,3
mo‘raladim,3
sochilib,3
gapning,3
joyimda,3
turgancha,3
bolamni,3
chiqishi,3
qamab,3
yo‘g‘-u,3
ota,3
yerlikmisiz,3
qiladigan,3
yorishdi,3
ayb,3
o‘tiribmiz,3
mo‘ltirab,3
qo‘yishdi,3
nimchasining,3
nusxasini,3
bor-da,3
so‘z,3
hujradan,3
qilgandan,3
egasiga,3
kitobni,3
aro-o-olab,3
bo‘laman,3
orada,3
ozgina,3
ezib,3
eshitishni,3
mo‘min,3
nonushta,3
dumi,3
pashsha,3
uyingga,3
chak-tik-puk,3
kelinchak,3
qolinglar,3
ko‘tariladi,3
tutga,3
bo‘ynidagi,3
soatga,3
cho‘kkalagancha,3
o‘tirdi-o‘tirdi-da,3
ko‘karib,3
akashak,3
bo‘ynini,3
ustidagi,3
oybaldog‘ini,3
yurtimiz,3
ashula,3
tushibdi,3
jiydazorda,3
onam-a,3
soladi,3
avlodida,3
yigitlar,3
o‘g‘lidan,3
atigi,3
qolishadi,3
muzday,3
navbat,3
ketdi-ya,3
ko‘rolmay,3
indamadi,3
indamaydi,3
paranji,3
uyalib,3
chog‘i,3
past,3
ingichkalashib,3
qo‘shgan,3
yoyib,3
bilolmay,3
yugurgilab,3
umuman,3
nimadan,3
xoda,3
g‘ijim,3
hovlisiga,3
tugun,3
allakim,3
dikonglab,3
peshonasiga,3
bir-bir,3
borgim,3
kungacha,3
osoyishta,3
ochgan,3
ishtonni,3
to‘yda,3
odamzod,3
qolmagan,3
kelganda,3
ajina,3
bechoraga,3
yecha,3
bolalarga,3
bog‘ichini,3
jerkib,3
bo‘lgandan,3
shishani,3
yubordik,3
bizlar,3
xaxolab,3
bermay,3
arqonini,3
yaqiniga,3
jazosini,3
akillagancha,3
olayib,3
tursin,3
qamchisini,3
osonmi,3
qilichi,3
bo‘sh,3
jannatdan,3
yov,3
maktabda,3
kuchugimga,3
chatoq,3
xudoyo,3
gandiraklab,3
tushdi-yu,3
shamollab,3
qahraton,3
aytishicha,3
quchoqlashib,3
chidab,3
xursand,3
hovliqib,3
ko‘rgandek,3
ko‘rindi,3
esimdan,3
girgittonlar,3
oboraman,3
og‘ridi,3
gavdali,3
sichqon,3
hurkib,3
kuchuk,3
xotinga,3
otildi,3
o‘g‘limdan,3
angillab,3
olsak,3
qaytishda,3
duch,3
tayinladi,3
popuklar,3
eslayman,3
tirqirab,3
dadamni,3
ko‘zidan,3
dadang,3
jilov,3
yo‘lini,3
o‘tiradi,3
qoch,3
olazarak,3
dars,3
quda,3
yig‘ib,3
quv,3
tokchadan,3
futbol,3
yozda,3
oydan,3
tancha,3
yashirdi,3
maqtanib,3
shovqin-suron,3
sichqonning,3
momataloq,3
qo‘yish,3
o‘tkazib,3
yorishib,3
chehrasi,3
namatni,3
nolasi,3
qoyil,3
qo‘lga,3
chirchiq,3
qo‘ymasdi,3
tiyin,3
popuk,3
sizlar,3
jonidan,3
ovqatdan,3
peshindan,3
tomiga,3
biriga,3
ukasi,3
chillasi,3
edingiz,3
qizaloq,3
jo‘raboshiga,3
qizardi,3
osiltirib,3
ko‘zli,3
bolangizni,3
chalqanchasiga,3
toyirjon,3
uncha,3
osib,3
likillatib,3
qochdi,3
qarg‘ashoyi,3
tikildi,3
xalaqit,3
sochli,3
belanib,3
jingalak,3
kelishdi,3
kigiz,3
ketishi,3
kungi,3
boshidan,3
zakunni,3
surati,3
paytgacha,3
yoshi,3
qurut,3
qovoq,3
qovoqni,3
xotiniga,3
voqeani,3
shim,3
eshitganimda,3
bilardim-u,3
o‘rta,3
karomat,3
qurmasin,3
mahallada,3
otini,3
berdilar,3
borsam,3
shisha,3
singan,3
bittasini,3
besh-olti,3
ishongim,3
surishtirib,3
kuyib,3
kunini,3
nonmi,3
sigirning,3
kechagi,3
oqar,3
oltinga,3
ishda,3
bukur,3
buzog‘i,3
latta,3
oyog‘ining,3
aytishga,3
zinger,3
aytishim,3
yetmasdi,3
yuboradigan,3
changallagancha,3
chevar,3
zamon,3
muborak,3
kuyov,3
yig‘lama,3
etagini,3
sehrlangandek,3
tepamda,3
dahshat,3
to‘ppa-to‘g‘ri,3
ne-ne,3
oydek,3
beshikdagi,3
zuvlamayman,3
huzur,3
bo‘ptimi,3
uchidan,3
rahmim,3
jabr,3
boltani,3
mahalladagi,3
muncha,3
edilar-a,3
berilib,3
to‘ladi,3
qayta,3
pirpirab,3
kuchugimning,3
gazeta,3
yig‘laganini,3
toyirjonni,3
kerosin,3
kursiga,3
qubba,3
o‘tirishibdi,3
ayvonda,3
o‘tirishardi,3
qilishga,3
tilining,3
mashinasini,3
mahzun,3
bildimki,3
mazza,3
qo‘ling,3
uyat,3
dard,3
ruhiy,3
boya,3
kelib-kelib,3
matoni,3
vafot,3
tomog‘i,3
chiqaveradi,3
ichganim,3
pichir-pichir,3
qayta-qayta,3
so‘zini,3
kirsam,3
chumchuqdek,3
ohoni,3
kela,3
qarg‘agan,3
akamni,3
qoraquloqni,3
mo‘ralasam,3
ishlab,3
tomog‘im,3
farrosh,3
tegishi,3
boshdan,3
eshitdim,3
turibsan,3
zakun,3
bo‘shashib,3
chekkasiga,3
mashinangni,3
xam,3
kam,3
tarashadek,3
bitta-yarimta,3
dallolning,3
yerning,3
yuzdan,3
kamiga,3
tekkan,3
dilbar,3
po‘stin,3
yedim,3
ko‘tarildi,3
otdan,3
otga,3
o‘lmasam,3
bosmachilarni,3
ko‘tarmay,3
iztirob,3
yig‘isi,3
uyalmaysizmi,3
dalavoyni,3
kiyasan,3
akillay,3
ko‘nmay,3
borishga,3
afsona,3
inqillab-sinqillab,3
oyoqlarini,3
ko‘zingga,3
obering,3
yurganmish,3
bo‘g‘ilib,3
angladim,3
haqiqatni,3
tepasida,3
kutilmagan,3
ja,3
arang,3
yoshgina,3
jinni,3
atlasni,3
onaning,3
ekanmi,3
manoj,3
ko‘rdingizmi,3
telpak,3
chopon,3
ko‘rinmaydi,3
deyarli,3
kerakmi,3
mengamas,3
otgan,3
kinoga,3
vuy,3
piyoz,3
yurakni,3
borganimda,3
qilsang,3
gilam,3
ne,3
bilganman,3
asl,3
etagidagi,3
to‘xtovsiz,3
mungli,3
san,3
baqiradi,3
sinchiklab,3
damin,3
yalangoyoq,3
beli,3
oshib,3
cho‘ntagiga,3
tushamiz,3
suvi,3
bekorga,3
yo‘lakning,3
tasalli,3
kino,3
qo‘tir,3
ashxobodda,3
yaktak,3
tushunmas,3
tabiatning,3
sog‘ib,3
jiqqa,3
loyga,3
bo‘lardim,3
ozor,3
orqasidan,3
havoda,3
obkeb,3
oldinda,3
o‘lim,3
beozor,3
chiyduxoba,3
o‘tirishar,3
yarmi,3
nochor,3
qoladi-da,3
dedi-da,3
balaga,3
to‘xtatdi,3
yupqa,3
ko‘zlaridan,3
norozilik,3
qo‘ygandek,3
tutilgan,3
chamamda,3
soqoli,3
lang,3
shahd,3
la’nat,3
cho‘nqayib,3
qilyapti,3
sandiq,3
to‘rtovlashib,3
daraxtni,3
yutib,3
doktor,3
cho‘ntak,3
osildi,3
guvoh,3
onalari,3
oyog‘ingni,3
olasizmi,3
piqillab,3
mushtdek,3
kimi,3
allayo,3
ko‘z-ko‘z,3
tushunganman,3
zamonlar,3
cho‘pchak,3
singilcham,3
yumshoqqina,3
qaradi-da,3
kirdim-u,3
ikkala,3
do‘ppini,3
ijirg‘anib,3
deyman-u,3
mang,3
gapingizni,3
chaqib,3
op,3
tutdan,3
padaringga,3
derazalar,3
hamisha,3
foydasi,3
pishmagan,3
qisqagina,3
choponini,3
yaxshilab,3
entikib,3
bashorat,3
itning,3
qo‘yardi,3
yong‘oqning,3
shinel,3
tikanlari,3
ostonaga,3
nido,3
ko‘zoynagini,3
iztirobli,3
urinib,3
yo‘lning,3
so‘rashdi,3
yo‘qol,3
ko‘r-chi,3
yiltiratib,3
ekanligini,3
ishonmovdim,3
mixga,3
qarabsizki,3
ichdik,3
tiniq,3
titray,3
teraklar,3
vahimali,3
eskiroq,3
ayvonga,3
skameyka,3
botib,3
kaltakesakning,3
keluvdik,3
ag‘darilib,3
likillatib-likillatib,3
olarkan,3
labi,3
qandolatchi,3
kosani,3
pichirladi,3
qolganman,3
ergashdi,3
savag‘ichni,3
kuchukni,3
chimirib,3
haromxo‘r,3
teskari,3
ruxsat,3
tupurdi,3
tishi,3
oshxonadan,3
dovdirab,3
toshev,3
yostiqqa,3
bilanoq,3
urilib,3
mo‘ylovini,3
folbin,3
o‘radi,3
konfet,3
gapiga,3
g‘azab,3
tomog‘imga,3
siyoh,3
to‘nkarib,3
boring,3
botirgan,3
etmay,3
buviga,3
yutadigan,3
oying,3
qo‘ydingiz,3
shukr,3
unisini,3
xitob,3
chekkada,3
olibdi,3
xaltaga,3
mag‘rur,3
tug‘ib,3
titkilab,3
o‘tirdik,3
soqqamni,3
quritganman,3
qildingiz,3
ketdingiz,3
kulishi,3
tushmagan,3
berding,3
ich,3
mung‘ayib,3
tezak,3
turamiz,3
qarsillatib,3
bilasiz,3
cho‘kadi,3
oqshom,3
muloyim,3
tikib,3
duxoba,3
etmas,3
do‘ppili,3
o‘zimga,3
otasining,3
to‘da,3
toshkent,3
qo‘shiqni,3
eshitganman,3
yuboray,3
gapiradi-ya,3
to‘yga,3
uyqum,3
urde,3
yo‘g‘-e,3
jaranglab,3
xayriyat,3
qosh,3
ertaga,3
umr,3
kiygizib,3
bora-bora,3
mard,3
turishar,3
pasaytirib,3
o‘ris,3
bo‘lgandir,3
yordam,3
haftadan,3
ta’zim,3
xushchaqchaq,3
dadasiga,3
bo‘lganidan,3
bo‘lganini,3
dutorga,3
yotardi,3
ko‘rgin,3
maktabdagi,3
bor-a,3
yubormay,3
esidan,3
yonma-yon,3
zerikib,3
qizcha,3
niyat,3
xavotir,3
yoqdan,3
qil,3
yaydoq,3
aytar,3
piyonista,3
toshkentni,3
dimog‘imga,3
baqirdi,3
allaqayoqdan,3
aniq-taniq,3
quloqchinini,3
olmoqchi,3
zil,3
turganini,3
eshigini,3
nim,3
qizni,3
sutdek,3
timirskilanib,3
bo‘libdi,3
bilasizmi,3
bolamga,3
yodgorlik,3
qavatli,3
sendan,3
ojiz,3
iloji,3
odamman,3
qorong‘ida,3
to‘ylar,3
ro‘moli,3
gangur-gungur,3
aybim,3
xo‘rsinadi,3
arzon,3
o‘ngimda,3
telpagining,3
gapirgani,3
qilma,3
bolaligimni,3
qolganim,3
rayhon,3
ma’qullab,3
kabina,3
ko‘zingni,3
bizniyam,3
to‘lgan,3
kulcha,3
maktabdan,3
bo‘lmasa-chi,3
keltirib,3
qiyiqcha,3
tang‘igan,3
ayta,3
ko‘rmasang,3
opaga,3
kelsin,3
oftobda,3
obkashni,3
sigirnikiga,3
yuk,3
omin,3
sapchib,3
bilmayman-u,3
olganman,3
bo‘yidagi,3
sinf,3
chan,3
tutaqib,3
ixcham,3
tangri,3
uchib-uchib,3
ilk,3
chiqdik,3
bo‘ldi-yu,3
shunaqasi,3
qo‘ymaydi,3
lablarini,3
tishlari,3
imi-jimida,3
eridan,3
o‘qituvchilar,3
yoyilib,3
ko‘zguga,3
porani,3
o‘zimiz,3
to‘kildi,3
qonqus,3
ismi,3
o‘qchi,3
shamg‘alat,3
ketay,3
va’da,3
chopdim,3
yonidagi,3
topildi,3
beshikni,3
saratonda,3
uyg‘onadi,3
do‘stimning,3
chekka-chekkadan,3
tegishli,3
yotdim,3
kunda,3
yo‘lida,3
adashib,3
tinchlik,3
tutqazib,3
nevaralar,3
muk,3
kavlashtirib,3
yomoni,3
poshnasi,3
yuborib,3
liqillab,3
chiqadigan,3
qat’iy,3
ketishini,3
sanar,3
bermayman,3
rangsiz,3
madori,3
ichishdi,3
skameykada,3
qolgandir,3
taqqa,3
babax,3
dunyodagi,3
yotadigan,3
xo‘roz,3
kelmas,3
so‘radim,3
uyam,3
chirchiqda,3
soladigan,3
o‘gay,3
oynasi,3
ammamnikiga,3
atir,3
yanagi,3
yorug‘,3
cho‘michdek,3
ta’sir,3
sirni,3
jur’at,3
naridan-beri,3
kimniki,3
cho‘cha,3
mokriy,3
duv,3
kuyoving,3
bor-ku,3
martadan,2
yigitni,2
ketayotganda,2
xohlasak,2
sumkasiga,2
sog‘,2
ajratgan,2
orzu,2
ayolning,2
sohilga,2
xandon,2
o‘tloqqa,2
kavush,2
qo‘rqmaydi,2
botinkam,2
bo‘lgandayam,2
demaganni,2
shoxiga,2
ichdim,2
tuguncha,2
pashist,2
mo‘lroq,2
ko‘nglida,2
onasiman,2
yomonmi,2
amirkon,2
urushda,2
shaharki,2
yopib,2
o‘par,2
tagidagi,2
sigirining,2
uyg‘ondi,2
pirpiratdi,2
yelkamni,2
og‘zimdan,2
yoshing,2
deganingiz,2
qisdim,2
indamas,2
tursa,2
binafsha,2
edi-da,2
tog‘dek,2
xiyol,2
bosganida,2
biluvdim,2
qo‘yarkanman,2
o‘ldi,2
manavi,2
shapillatib,2
o‘chir,2
esdan,2
og‘ib,2
qishloqni,2
tizzasining,2
olmadi,2
ichdi,2
tozalashga,2
oshpaz,2
bunisini,2
uyimiz,2
o‘ychanlik,2
chaqchaqlashib,2
omi-in,2
kambag‘albop,2
olaylik,2
yangitdan,2
boradi-da,2
dunyo-yu,2
voy-bo‘,2
qolay,2
ataylab,2
opangnikiga,2
qiqirlab,2
nosdan,2
yurib-yurib,2
qamishga,2
ammamnikida,2
buti,2
ishtonchan,2
yopishsa,2
bormaymiz,2
o‘lgurni,2
turib-turib,2
ketaverdik,2
gulli,2
chordana,2
xirgoyi,2
sabzi,2
hayronman,2
zanjirini,2
olmasang,2
umringizdan,2
shumi,2
inqilladi,2
engashib,2
isiriq,2
hov,2
sepkil,2
uydagi,2
topolmadim,2
uff,2
bilanmi,2
ichgim,2
tanimaysizmi,2
chiqaradi,2
hayoti,2
saini,2
maktab,2
ro‘molcha,2
kuyib-pishib,2
jilg‘a,2
qimirlaganda,2
boraver,2
shikoyat,2
uylar,2
tomoni,2
kasallarni,2
hassasini,2
maylimi,2
shoxidagi,2
ketmon,2
tug‘gan,2
qator,2
k-k-kerak,2
so‘ra,2
bo‘lmagan,2
bo‘ron,2
mullo,2
bo‘ladigan,2
qaramaydi,2
otni,2
bo‘lganida,2
o‘rgatgan,2
atrofdagi,2
obakini,2
ko‘ylaklar,2
ichkariga,2
omonat,2
qochadi,2
poyezddek,2
panjarali,2
o‘xshaysiz,2
soyasiga,2
hamma-hamma,2
m-men,2
m-mana,2
tugunchani,2
nihoyatda,2
dahshatdan,2
og‘zimni,2
naynov,2
matodan,2
tashlaydi-da,2
hammamizga,2
qo‘ysam,2
qornim,2
yuradi-da,2
ko‘pincha,2
beshyog‘och,2
mazali,2
harchand,2
baldoq,2
kaft,2
dandon,2
yaratgan,2
daftarga,2
shimi,2
shokolad,2
boshqami,2
yoqasidan,2
yetakladi,2
varrakni,2
xo‘ja-a-a,2
opchiqib,2
kiyimini,2
kesilgan,2
tugmali,2
uzatadi,2
o‘ylagan,2
qo‘ltiqlab,2
qurigandek,2
bozorining,2
chekkadan,2
yechining,2
tugmalarini,2
yopishgan,2
taniyman,2
bo‘ynimga,2
kuch,2
uyog‘ini,2
kirib-chiqib,2
ko‘sa,2
burun,2
quloqlari,2
yarashmagan,2
eshaklar,2
kalish-mahsi,2
xo‘jalik,2
yechdi-da,2
boredi,2
borsang,2
jiyan,2
xo‘rozni,2
ekansiz-da,2
buzmadi,2
pinagini,2
osha,2
biqiniga,2
tekis,2
chillasida,2
olamizmi,2
burnining,2
galife,2
oyog‘idagi,2
pochasini,2
tashvish,2
ayvoni,2
orasi,2
dilkashlik,2
bozoriga,2
sumkaning,2
zaxkash,2
turishadi,2
ichkilik,2
qip,2
g‘ayratga,2
sochim,2
chiqmaganmi,2
ifoda,2
qat’iyat,2
yengil,2
darvozasidan,2
orqasini,2
yasalgan,2
olis,2
tezakop,2
pastga,2
o‘tishi,2
avtobus,2
ustun,2
anavi,2
irg‘adi,2
umidida,2
tushundi,2
ko‘zgu,2
joylashgan,2
bardamgina,2
keluvdim,2
bormisiz,2
deganni,2
tanimas,2
kabobpaz,2
turadi-da,2
nasihat,2
solingan,2
o‘tsangiz,2
baliq,2
bolangiz,2
laqqa,2
sergaklandi,2
demaysizmi,2
xaridorning,2
dodlashi,2
soqolingizni,2
sil,2
yakkacho‘pdan,2
uf,2
yuzga,2
o‘tayotganda,2
olgandan,2
bo‘yida,2
sanab,2
changallab,2
chorak,2
guzarga,2
choyxonada,2
qornini,2
xayringizni,2
yoqasi,2
cho‘kib,2
deganlar,2
orifning,2
qurdikmi,2
machit,2
norozi,2
soldikmi,2
puli,2
o‘lgan,2
shayton,2
pichirlatib,2
aylandi,2
arqondan,2
choydan,2
piyma,2
pullardan,2
paxsa,2
oborasiz,2
tutqazdi,2
sutni,2
arqonidan,2
deyapsiz,2
charchadim,2
ko‘rsatdik,2
otxona,2
tashvishi,2
uzun-uzun,2
qolaylik,2
ertalablari,2
lunjini,2
eslay,2
sartaroshxona,2
xeroz,2
do‘kon,2
xarrak,2
yurgandan,2
sochimni,2
kishini,2
tortaveraman,2
haqi,2
shopmo‘ylov,2
shlyapali,2
siqib,2
xomsuvoq,2
qilingan,2
qo‘ymadi,2
o‘shandayam,2
govmish,2
mollar,2
darvozasiga,2
burchagiga,2
ketyapmiz,2
xolis,2
sersut,2
alanglab,2
arqoni,2
sho‘ng‘ib,2
ranjib,2
molni,2
surilib,2
toliqib,2
anchagina,2
bo‘ldim-u,2
tavba,2
so‘raysiz,2
qulog‘idan,2
xos,2
kalta,2
chimdib,2
tirnoqdan,2
qo‘rqa-pisa,2
taraddudlanib,2
tiyib,2
kattalardan,2
dunyodan,2
menda,2
turmushi,2
kelishim,2
vrachman,2
xotinimning,2
yuribsan,2
obbo,2
bo‘lyapti,2
haligi,2
medal,2
aftini,2
burishtirdi,2
etni,2
esimni,2
maktabingga,2
ekaniga,2
moshkichiridan,2
shirmoy,2
sotadi,2
somon,2
ortib,2
ko‘ramiz,2
uyog‘i,2
tirband,2
qizimning,2
n-nega,2
uy-ola,2
ko‘rsangiz,2
yurganimni,2
keltirmagan,2
peshinda,2
jihatdan,2
munosib,2
yo‘qotib,2
qo‘yarmidim,2
xunuklashib,2
to‘n,2
beqasam,2
maqolani,2
oynaband,2
qa’niga,2
keldilar,2
noto‘g‘ri,2
bo‘lgaymi,2
so‘tga,2
qo‘yilibdi,2
ketaverdim,2
tushunmay,2
to‘xtang,2
qolganimni,2
hayajondan,2
gulini,2
pildirab,2
tushaman,2
allanimalar,2
ezilib,2
uyg‘otdi,2
xasta,2
yangrayotgan,2
ikkilanar,2
suhbatimiz,2
soatni,2
shz,2
mo‘ralaydi,2
soqolingni,2
kasalligi,2
mushukning,2
deyiladi,2
qulog‘ingga,2
muzika,2
karnaydan,2
vrachlar,2
jildini,2
to‘rda,2
men-ku,2
qaymoq,2
aytayotganini,2
bilmasdim-u,2
yonimga,2
bozorni,2
shanba,2
akasining,2
yo‘q-da,2
bo‘larmidi,2
yuvoshgina,2
silkib,2
bo‘larkin,2
erkak,2
echkimiz,2
buniyam,2
olardi,2
dalaga,2
o‘ylardi,2
olishdi,2
chertganda,2
eshitish,2
skameykaning,2
bersang,2
maydonning,2
ko‘nma,2
dikkaytirib,2
fe’lini,2
meravoy,2
ketaverdi,2
asabiy,2
tortdim,2
olishmagan,2
jini,2
xivich,2
boladan,2
tiqilishib,2
bo‘lguncha,2
pufaykadan,2
unda,2
haydashib,2
quralay,2
turtib,2
o‘zlari,2
qarasa,2
odatim,2
kunlaridan,2
savollar,2
bormisan,2
kamandirimiz,2
silar,2
javdiratib,2
supada,2
tushimga,2
maskov,2
tishini,2
arraning,2
borasanmi,2
qolsinlar,2
borganimni,2
poyiz,2
yursin,2
boshlashni,2
uyoqda,2
qilmasdi,2
qizimdan,2
to‘ng‘ich,2
manam,2
olmaydi,2
tuyadek,2
quyoshdan,2
biznikida,2
yeymiz,2
yomonmas,2
o‘tqazib,2
qaytdi,2
sanga,2
jinnixonaga,2
yilmi,2
to‘g‘risi,2
bolalardan,2
vino,2
yubor,2
bor-yo‘qligini,2
uloqchalarni,2
qirra,2
yeyman,2
to‘yxonaga,2
olarmiz,2
yiglamaydi,2
olganmish,2
qo‘rqmang,2
quritib,2
duduqlanib,2
pishiradi,2
ugil,2
yurtga,2
arvohi,2
yakshanba,2
ortidagi,2
gulxan,2
xonadan,2
ostona,2
mozor,2
ichkari,2
yig‘lardim,2
ko‘rsin,2
yechdi,2
sizam,2
bo‘lmagani,2
uchayotgan,2
mana-ku,2
ichidan,2
joyini,2
tiqqan,2
yo‘qot,2
eshitmaydi,2
tuyulgandir,2
yelib-yugurib,2
aytmadi,2
borganida,2
ketayotganimizda,2
sassiq,2
ko‘nmapti,2
jigarrang,2
kampirim,2
paypaslab,2
avaylab,2
o‘zicha,2
tortishmachoq,2
burdasini,2
to‘kib,2
ketganimdan,2
qilsin,2
shivirlab,2
pochtachi,2
ovozimni,2
berdimi,2
qolmaydi,2
boshqasi,2
kitti,2
qozon,2
aytsa,2
urasan,2
topadi,2
savdo,2
qo‘sha,2
140,2
to‘ng‘illadi,2
eshakdek,2
masalan,2
xotiralari,2
shilpiq,2
ikkitasi,2
gursillatib,2
kursilarda,2
shirinlikka,2
bekinmachoq,2
o‘ynadi,2
qorlar,2
namatga,2
omi-i-in,2
illo-billo,2
gangir-gungir,2
eshigidan,2
qovoqning,2
qidirib,2
ko‘mib,2
qilganmish,2
odamsiz,2
mushtini,2
xalat,2
yiqildi,2
folbinnikida,2
g‘ami,2
soliq,2
qari,2
qo‘ydi-yu,2
urishmadi,2
qo‘ying-e,2
istar-istamas,2
qo‘llab,2
ko‘milib,2
yasatib,2
hujrasidagi,2
go‘llikka,2
ishlaydi,2
mingan,2
qo‘rigandek,2
o‘chgancha,2
atrofini,2
otlar,2
bolamning,2
o‘tiray,2
qolsalar,2
olishim,2
lahatda,2
eshonoyi,2
ketimizdan,2
oldinma-ketin,2
solish,2
kuy,2
lovullagan,2
chuqur-chuqur,2
gullari,2
daraxtzor,2
chechaklari,2
tagini,2
yetmagandek,2
so‘zak,2
sim,2
tepgan,2
shoxni,2
shilib,2
bobillab,2
olayotgandek,2
qursin,2
tusingni,2
chirillab,2
tashlar,2
chaqqandek,2
atrofda,2
arrani,2
ingraydi,2
boshyalang,2
ko‘ksini,2
tipirchilar,2
bo‘lmasmidi,2
qoplagan,2
kelganini,2
qolsang,2
o‘rganib,2
kechqurunga,2
mushtlab,2
topganini,2
ro‘shnolik,2
deding,2
tobutni,2
ergashtirib,2
bittagina,2
ilon,2
achchiq,2
yel,2
suvlig‘ini,2
yesin,2
bug‘,2
burnidan,2
jaranglaydi,2
qizg‘ish,2
to‘sgancha,2
yugurdik,2
yoqdan-bu,2
yugurgan,2
urilishi,2
balosiga,2
qayrag‘ochning,2
borishdi,2
ko‘rsa,2
qayrag‘och,2
qolaversa,2
maydonchaga,2
salo-o-o-m,2
xolamning,2
yilcha,2
kutdi,2
avvalgi,2
akasini,2
gapirdi,2
tog‘am,2
yurganida,2
bilinmay,2
yechgan,2
xonasi,2
o‘ynaydigan,2
mayda,2
foli,2
aytmadimmi,2
changalladi,2
yumuq,2
toygandek,2
muallaq,2
negaki,2
tufayli,2
deyishini,2
bo-or,2
qattiqmi,2
qahring,2
o‘tiribsiz,2
o‘qidi,2
valentin,2
shofyor,2
yuqqan,2
